"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_corrected","affordance_lemma"
"LH7376",11,"Version 32","stretcher","BOI","carrying","carry"
"LH7376",11,"Version 32","stretcher","BOI","transporting","transport"
"LH7376",12,"Version 32","bead","BOI","makingintojewelry","make into jewelry"
"LH7376",13,"Version 32","pocketknife","BOI","stabbing","stab"
"LH7376",13,"Version 32","pocketknife","BOI","cutting","cut"
"LH7376",13,"Version 32","pocketknife","BOI","slicing","slice"
"LH7376",14,"Version 32","machinery","BOI","building","build"
"LH7376",14,"Version 32","machinery","BOI","repairing","repair"
"LH7376",14,"Version 32","machinery","BOI","destroying","destroy"
"LH7376",14,"Version 32","machinery","BOI","creating","create"
"LH7376",14,"Version 32","machinery","BOI","lifting","lift"
"LH7376",14,"Version 32","machinery","BOI","carrying","carry"
"LH7376",15,"Version 32","songbook","BOI","writingsongs","write song"
"LH7376",16,"Version 32","stairwell","BOI","climbing","climb"
"LH7376",16,"Version 32","stairwell","BOI","goingupanddown","go up and down"
"LH7376",17,"Version 32","seed","BOI","planting","plant"
"LH7376",17,"Version 32","seed","BOI","farming","farm"
"LH7376",17,"Version 32","seed","BOI","growing","grow"
"LH7376",17,"Version 32","seed","BOI","cultivating","cultivate"
"LH7376",18,"Version 32","dessert","BOI","eating","eat"
"LH7376",18,"Version 32","dessert","BOI","enjoying","enjoy"
"LH7376",18,"Version 32","dessert","BOI","cooking","cook"
"LH7376",19,"Version 32","dollar","BOI","spending","spend"
"LH7376",19,"Version 32","dollar","BOI","workingfor","work for"
"LH7376",20,"Version 32","powerboat","BOI","sailing","sail"
"LH7376",21,"Version 32","sprinter","BOI","running","run"
"LH7376",21,"Version 32","sprinter","BOI","winningarace","win a race"
"LH7376",21,"Version 32","sprinter","BOI","movingquickly","move quickly"
"LH7376",22,"Version 32","balm","BOI","forlips","for lip"
"LH7376",22,"Version 32","balm","BOI","forskin","for skin"
"LH7376",22,"Version 32","balm","BOI","formetal","for metal"
"LH7376",22,"Version 32","balm","BOI","applyingontovarioussurfaces","apply onto various surface"
"LH7376",23,"Version 32","fan","BOI","keepingcool","keep cool"
"LH7376",23,"Version 32","fan","BOI","ventilating","ventilate"
"LH7376",23,"Version 32","fan","BOI","circulatingair","circulate air"
"LH7376",24,"Version 32","tinplate","BOI","liningcans","line can"
"LH7376",25,"Version 32","tin","BOI","creatingcans","create can"
"LH7376",25,"Version 32","tin","BOI","decoration","decoration"
"LH7376",26,"Version 32","sidewalk","BOI","walking","walk"
"LH7376",26,"Version 32","sidewalk","BOI","providingmeansoftransportation","provide mean of transportation"
"LH7376",27,"Version 32","rotisserie","BOI","cooking","cook"
"LH7376",27,"Version 32","rotisserie","BOI","roasting","roast"
"LH7376",27,"Version 32","rotisserie","BOI","spinningsomething","spin something"
"LH7376",28,"Version 32","cloverleaf","BOI","beingasymbolofluck","be a symbol of luck"
"LH7376",28,"Version 32","cloverleaf","BOI","rareplantgrowing","rare plant grow"
"LH7376",29,"Version 32","summerhouse","BOI","vacationing","vacation"
"LH7376",29,"Version 32","summerhouse","BOI","spendingtimewithfamilyorfriends","spend time with family or friend"
"LH7376",29,"Version 32","summerhouse","BOI","relaxing","relax"
"LH7376",29,"Version 32","summerhouse","BOI","mentallydecompressing","mentally decompress"
"LH7376",30,"Version 32","bible","BOI","practicingreligion","practice religion"
"LH7376",30,"Version 32","bible","BOI","reading","read"
"LH7376",30,"Version 32","bible","BOI","praying","pray"
"LH7376",31,"Version 32","lodging","BOI","housing","house"
"LH7376",31,"Version 32","lodging","BOI","somewheretostay","somewhere to stay"
"LH7376",32,"Version 32","trousers","BOI","coveringbottoms","cover bottom"
"LH7376",32,"Version 32","trousers","BOI","keepinglegswarm","keep leg warm"
"LH7376",32,"Version 32","trousers","BOI","canbeusedtoexpressidentitydependingonwhowearsthem","can be use to express identity depend on who wear them"
"LH7376",33,"Version 32","pumice","BOI","exfoliatingskin","exfoliate skin"
"LH7376",33,"Version 32","pumice","BOI","constructingmaterials","construct material"
"LH7376",34,"Version 32","ash","BOI","mourning","mourn"
"LH7376",35,"Version 32","hairnet","BOI","keepinghairrestrained","keep hair restrain"
"LH7376",36,"Version 32","artifact","BOI","learning","learn"
"LH7376",36,"Version 32","artifact","BOI","researching","research"
"LH7376",36,"Version 32","artifact","BOI","exploring","explore"
"LH7376",36,"Version 32","artifact","BOI","teaching","teach"
"LH7376",37,"Version 32","skillet","BOI","cooking","cook"
"LH7376",37,"Version 32","skillet","BOI","frying","fry"
"LH7376",37,"Version 32","skillet","BOI","baking","bake"
"LH7376",37,"Version 32","skillet","BOI","heating","heat"
"LH7376",38,"Version 32","glassblower","BOI","makingglass","make glass"
"LH7376",40,"Version 32","costume","BOI","dressingup","dress up"
"LH7376",40,"Version 32","costume","BOI","disguisingoneself","disguise oneself"
"LH7376",40,"Version 32","costume","BOI","celebratingaholiday","celebrate a holiday"
