"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_corrected"
"LH7376",11,"Version 32","stretcher","BOI","carrying"
"LH7376",11,"Version 32","stretcher","BOI","transporting"
"LH7376",12,"Version 32","bead","BOI","making into jewelry"
"LH7376",13,"Version 32","pocketknife","BOI","stabbing"
"LH7376",13,"Version 32","pocketknife","BOI","cutting"
"LH7376",13,"Version 32","pocketknife","BOI","slicing"
"LH7376",14,"Version 32","machinery","BOI","building"
"LH7376",14,"Version 32","machinery","BOI","repairing"
"LH7376",14,"Version 32","machinery","BOI","destroying"
"LH7376",14,"Version 32","machinery","BOI","creating"
"LH7376",14,"Version 32","machinery","BOI","lifting"
"LH7376",14,"Version 32","machinery","BOI","carrying"
"LH7376",15,"Version 32","songbook","BOI","writing songs"
"LH7376",16,"Version 32","stairwell","BOI","climbing"
"LH7376",16,"Version 32","stairwell","BOI","going up and down"
"LH7376",17,"Version 32","seed","BOI","planting"
"LH7376",17,"Version 32","seed","BOI","farming"
"LH7376",17,"Version 32","seed","BOI","growing"
"LH7376",17,"Version 32","seed","BOI","cultivating"
"LH7376",18,"Version 32","dessert","BOI","eating"
"LH7376",18,"Version 32","dessert","BOI","enjoying"
"LH7376",18,"Version 32","dessert","BOI","cooking"
"LH7376",19,"Version 32","dollar","BOI","spending"
"LH7376",19,"Version 32","dollar","BOI","working for"
"LH7376",20,"Version 32","powerboat","BOI","sailing"
"LH7376",21,"Version 32","sprinter","BOI","running"
"LH7376",21,"Version 32","sprinter","BOI","winning a race"
"LH7376",21,"Version 32","sprinter","BOI","moving quickly"
"LH7376",22,"Version 32","balm","BOI","for lips"
"LH7376",22,"Version 32","balm","BOI","for skin"
"LH7376",22,"Version 32","balm","BOI","for metal"
"LH7376",22,"Version 32","balm","BOI","applying onto various surfaces"
"LH7376",23,"Version 32","fan","BOI","keeping cool"
"LH7376",23,"Version 32","fan","BOI","ventilating"
"LH7376",23,"Version 32","fan","BOI","circulating air"
"LH7376",24,"Version 32","tinplate","BOI","lining cans"
"LH7376",25,"Version 32","tin","BOI","creating cans"
"LH7376",25,"Version 32","tin","BOI","decoration"
"LH7376",26,"Version 32","sidewalk","BOI","walking"
"LH7376",26,"Version 32","sidewalk","BOI","providing means of transportation"
"LH7376",27,"Version 32","rotisserie","BOI","cooking"
"LH7376",27,"Version 32","rotisserie","BOI","roasting"
"LH7376",27,"Version 32","rotisserie","BOI","spinning something"
"LH7376",28,"Version 32","cloverleaf","BOI","being a symbol of luck"
"LH7376",28,"Version 32","cloverleaf","BOI","rare plant growing"
"LH7376",29,"Version 32","summerhouse","BOI","vacationing"
"LH7376",29,"Version 32","summerhouse","BOI","spending time with family or friends"
"LH7376",29,"Version 32","summerhouse","BOI","relaxing"
"LH7376",29,"Version 32","summerhouse","BOI","mentally decompressing "
"LH7376",30,"Version 32","bible","BOI","practicing religion"
"LH7376",30,"Version 32","bible","BOI","reading"
"LH7376",30,"Version 32","bible","BOI","praying"
"LH7376",31,"Version 32","lodging","BOI","housing"
"LH7376",31,"Version 32","lodging","BOI","somewhere to stay"
"LH7376",32,"Version 32","trousers","BOI","covering bottoms"
"LH7376",32,"Version 32","trousers","BOI","keeping legs warm"
"LH7376",32,"Version 32","trousers","BOI","can be used to express identity depending on who wears them"
"LH7376",33,"Version 32","pumice","BOI","exfoliating skin"
"LH7376",33,"Version 32","pumice","BOI","constructing materials"
"LH7376",34,"Version 32","ash","BOI","mourning"
"LH7376",35,"Version 32","hairnet","BOI","keeping hair restrained"
"LH7376",36,"Version 32","artifact","BOI","learning"
"LH7376",36,"Version 32","artifact","BOI","researching"
"LH7376",36,"Version 32","artifact","BOI","exploring"
"LH7376",36,"Version 32","artifact","BOI","teaching"
"LH7376",37,"Version 32","skillet","BOI","cooking"
"LH7376",37,"Version 32","skillet","BOI","frying"
"LH7376",37,"Version 32","skillet","BOI","baking"
"LH7376",37,"Version 32","skillet","BOI","heating"
"LH7376",38,"Version 32","glassblower","BOI","making glass"
"LH7376",40,"Version 32","costume","BOI","dressing up"
"LH7376",40,"Version 32","costume","BOI","disguising oneself"
"LH7376",40,"Version 32","costume","BOI","celebrating a holiday"
